ID,Form,"Country (Form)","Organization (Form)",Participant,Age,Gender,Address,"Well-Functioning Government","Low Levels of Corruption","Equitable Distribution of Resources","Good Relations with Neighbours","Free Flow of Information","High Levels of Human Capital","Sound Business Environment","Acceptance of the Rights of Others","Positive Peace","Negative Peace","Extra Question 1","Extra Question 2","Extra Question 3","Survey Date"
1244,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"45 to 64",Male,,4,4,4,5,6,3,5,4,5,5,,,,"03 Jun, 2025"
1245,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"45 to 64",Male,,5,1,5,2,6,5,6,1,1,,,,,"03 Jun, 2025"
1246,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"25 to 44",Female,,1,1,1,3,6,1,4,1,6,3,,,,"03 Jun, 2025"
1247,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"18 to 24",Female,,,,,,,,,,,,,,,"03 Jun, 2025"
1248,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"18 to 24",Female,,,,,,,,,,,,,,,"03 Jun, 2025"
1249,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"18 to 24",Female,,2,2,2,3,5,3,4,2,6,,,,,"03 Jun, 2025"
1250,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"45 to 64",Female,,6,5,5,6,1,1,6,6,,,,,,"03 Jun, 2025"
1251,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"45 to 64",Male,,5,3,4,4,5,4,5,3,4,5,,,,"03 Jun, 2025"
1252,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"25 to 44",Male,,3,1,3,4,6,6,6,1,3,6,,,,"03 Jun, 2025"
1253,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"25 to 44",Male,,3,4,4,4,6,6,5,1,4,4,,,,"03 Jun, 2025"
1254,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"18 to 24","Prefer not to say",,5,4,3,2,1,2,3,4,5,6,,,,"03 Jun, 2025"
1255,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"25 to 44",Male,,4,4,4,4,4,4,4,4,4,4,,,,"03 Jun, 2025"
1256,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"25 to 44","Prefer not to say",,4,6,4,6,6,4,3,3,3,3,,,,"03 Jun, 2025"
1257,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"Prefer not to say",Female,,4,4,4,4,4,6,6,6,6,6,,,,"03 Jun, 2025"
1258,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"18 to 24",Female,,4,4,4,4,4,4,4,4,4,4,,,,"03 Jun, 2025"
1259,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"25 to 44",Female,,4,4,4,4,4,4,4,4,4,4,,,,"03 Jun, 2025"
1260,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"18 to 24",Female,,4,6,2,6,6,4,5,5,5,,,,,"03 Jun, 2025"
1261,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"25 to 44",Female,,4,6,6,6,6,6,6,6,6,6,,,,"03 Jun, 2025"
1262,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"18 to 24",Male,,4,4,4,4,4,4,4,4,4,4,,,,"03 Jun, 2025"
1263,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"25 to 44","Prefer not to say",,4,4,4,4,4,4,4,4,4,4,,,,"03 Jun, 2025"
1264,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"25 to 44",Female,,4,4,4,4,4,4,4,4,4,4,,,,"03 Jun, 2025"
1265,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"65 and over",Male,,5,5,5,5,5,5,5,5,5,5,,,,"03 Jun, 2025"
1266,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"18 to 24",Female,,5,5,5,5,5,5,5,5,5,5,,,,"03 Jun, 2025"
1267,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"45 to 64",Female,,6,6,2,2,5,5,5,5,5,5,,,,"03 Jun, 2025"
1268,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"25 to 44",Male,,4,4,4,4,4,4,4,4,4,4,,,,"03 Jun, 2025"
1269,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"Prefer not to say","Prefer not to say",,5,4,3,2,1,6,4,3,2,1,,,,"03 Jun, 2025"
1270,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"Prefer not to say","Prefer not to say",,5,3,4,6,5,4,2,1,3,5,,,,"03 Jun, 2025"
1271,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"45 to 64","Prefer not to say",,5,4,2,3,4,6,1,2,3,4,,,,"03 Jun, 2025"
1272,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"25 to 44",Other,,5,4,3,4,5,5,3,2,3,,,,,"03 Jun, 2025"
872,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"65 and over",Male,,1,1,3,3,6,3,6,1,2,6,,,,"03 Jun, 2025"
873,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"45 to 64",Male,,6,6,6,6,6,1,6,6,6,6,,,,"03 Jun, 2025"
874,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"25 to 44",Female,,3,5,3,2,6,1,6,6,6,1,,,,"03 Jun, 2025"
875,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"65 and over",Female,,6,6,6,6,6,5,6,,,,,,,"03 Jun, 2025"
876,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"45 to 64",Male,,6,6,6,1,6,3,6,1,6,,,,,"03 Jun, 2025"
877,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"25 to 44",Female,,3,2,4,5,5,3,6,1,3,1,,,,"03 Jun, 2025"
878,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"45 to 64",Female,,6,6,4,1,6,1,1,1,4,5,,,,"03 Jun, 2025"
879,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"45 to 64",Male,,6,6,6,6,6,1,6,1,6,6,,,,"03 Jun, 2025"
880,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"45 to 64",Female,,2,2,3,3,5,6,3,1,1,1,,,,"03 Jun, 2025"
881,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"25 to 44",Female,,1,2,3,4,6,5,5,1,3,4,,,,"03 Jun, 2025"
882,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"25 to 44",Female,,6,1,1,4,6,3,6,6,2,1,,,,"03 Jun, 2025"
883,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"18 to 24",Male,,2,3,3,4,6,6,2,4,1,,,,,"03 Jun, 2025"
884,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"45 to 64",Male,,3,4,4,5,6,1,5,2,5,6,,,,"03 Jun, 2025"
885,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"25 to 44",Male,,1,1,1,3,6,2,4,2,6,4,,,,"03 Jun, 2025"
886,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"25 to 44",Male,,6,3,4,5,6,6,6,4,6,,,,,"03 Jun, 2025"
887,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"25 to 44",Male,,1,2,6,4,6,1,6,1,6,6,,,,"03 Jun, 2025"
888,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"45 to 64",Female,,1,2,3,2,5,6,1,1,3,6,,,,"03 Jun, 2025"
889,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"25 to 44",Male,,6,1,6,1,1,5,1,1,1,,,,,"03 Jun, 2025"
890,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"25 to 44",Female,,1,3,3,6,6,6,6,1,5,6,,,,"03 Jun, 2025"
891,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"25 to 44",Male,,6,4,6,6,6,1,6,2,4,6,,,,"03 Jun, 2025"
892,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"18 to 24",Male,,6,6,3,3,6,4,6,,,,,,,"03 Jun, 2025"
893,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"45 to 64",Male,,1,1,3,3,1,6,6,1,3,3,,,,"03 Jun, 2025"
894,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"45 to 64",Female,,3,2,2,2,3,3,3,2,6,6,,,,"03 Jun, 2025"
895,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"45 to 64",Male,,4,4,4,5,6,2,4,2,5,4,,,,"03 Jun, 2025"
896,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"45 to 64",Male,,1,1,1,1,5,1,5,1,4,4,,,,"03 Jun, 2025"
897,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"25 to 44",Male,,2,1,2,6,6,4,6,1,6,6,,,,"03 Jun, 2025"
898,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"18 to 24",Female,,6,6,1,6,6,1,6,1,6,6,,,,"03 Jun, 2025"
899,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"45 to 64",Male,,1,1,1,2,3,6,1,1,3,1,,,,"03 Jun, 2025"
900,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"45 to 64",Female,,2,3,4,5,3,5,5,3,5,5,,,,"03 Jun, 2025"
901,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"25 to 44",Female,,3,5,4,6,6,6,4,1,4,6,,,,"03 Jun, 2025"
902,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"25 to 44",Male,,3,3,4,6,6,1,6,1,4,6,,,,"03 Jun, 2025"
903,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"45 to 64",Male,,5,3,4,5,6,1,6,3,5,5,,,,"03 Jun, 2025"
904,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"25 to 44",Male,,6,6,6,1,6,6,3,6,6,,,,,"03 Jun, 2025"
905,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"45 to 64",Female,,6,5,4,5,6,2,5,3,4,5,,,,"03 Jun, 2025"
906,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"18 to 24",Male,,6,,,,,,,,,,,,,"03 Jun, 2025"
907,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"18 to 24",Female,,1,1,1,1,6,1,6,1,1,,,,,"03 Jun, 2025"
908,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"25 to 44",Male,,6,6,5,4,6,1,6,4,4,6,,,,"03 Jun, 2025"
909,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"45 to 64",Female,,1,1,3,4,5,6,5,1,1,2,,,,"03 Jun, 2025"
910,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"45 to 64",Male,,3,3,4,4,6,3,3,2,5,4,,,,"03 Jun, 2025"
911,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"45 to 64",Male,,3,3,3,4,4,6,3,3,3,3,,,,"03 Jun, 2025"
912,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"45 to 64",Female,,2,2,2,2,1,1,4,1,3,6,,,,"03 Jun, 2025"
913,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"25 to 44",Female,,2,4,6,6,3,2,5,4,,,,,,"03 Jun, 2025"
914,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"45 to 64",Male,,3,2,3,3,5,3,4,2,4,3,,,,"03 Jun, 2025"
915,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"45 to 64",Male,,3,4,2,4,6,5,3,1,5,6,,,,"03 Jun, 2025"
916,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"45 to 64",Female,,5,5,5,6,6,6,3,5,,,,,,"03 Jun, 2025"
917,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"25 to 44",Male,,6,1,6,6,1,1,1,1,6,6,,,,"03 Jun, 2025"
918,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"25 to 44",Female,,3,3,3,6,1,2,,,,,,,,"03 Jun, 2025"
919,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"25 to 44",Female,,2,1,2,3,5,4,4,2,3,4,,,,"03 Jun, 2025"
920,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"45 to 64",Female,,2,4,4,5,6,6,5,4,4,5,,,,"03 Jun, 2025"
921,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"45 to 64",Female,,1,3,4,4,5,6,4,2,3,2,,,,"03 Jun, 2025"
922,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"25 to 44",Female,,5,6,6,5,6,1,5,4,5,6,,,,"03 Jun, 2025"
923,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"45 to 64",Male,,2,2,4,3,6,5,6,1,4,4,,,,"03 Jun, 2025"
924,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"25 to 44",Male,,3,3,3,4,4,4,3,2,4,5,,,,"03 Jun, 2025"
925,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"25 to 44",Female,,4,5,5,6,3,6,3,5,5,,,,,"03 Jun, 2025"
926,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"45 to 64",Female,,6,6,6,3,6,4,6,4,3,3,,,,"03 Jun, 2025"
927,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"45 to 64",Female,,1,2,3,5,6,6,6,2,3,4,,,,"03 Jun, 2025"
928,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"25 to 44",Male,,4,6,6,6,6,5,6,2,4,6,,,,"03 Jun, 2025"
929,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"25 to 44",Female,,6,5,4,5,6,2,6,4,5,5,,,,"03 Jun, 2025"
930,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"45 to 64",Male,,1,1,1,1,6,1,6,1,1,6,,,,"03 Jun, 2025"
931,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"25 to 44",Female,,4,4,3,4,6,4,5,1,3,5,,,,"03 Jun, 2025"
932,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"25 to 44",Male,,3,3,3,3,3,3,3,,,,,,,"03 Jun, 2025"
933,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"25 to 44",Male,,4,2,3,3,6,4,4,3,3,5,,,,"03 Jun, 2025"
934,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"25 to 44",Male,,3,1,2,3,3,3,1,2,3,,,,,"03 Jun, 2025"
935,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"25 to 44",Male,,4,5,5,4,5,3,5,4,4,6,,,,"03 Jun, 2025"
936,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"18 to 24",Female,,3,3,3,1,3,4,3,4,3,3,,,,"03 Jun, 2025"
937,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"25 to 44",Female,,2,1,2,4,6,4,3,1,5,,,,,"03 Jun, 2025"
938,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"25 to 44",Female,,4,4,4,5,5,5,4,2,2,4,,,,"03 Jun, 2025"
939,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"45 to 64",Male,,6,5,5,6,5,5,3,4,4,,,,,"03 Jun, 2025"
940,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"45 to 64",Female,,4,4,4,4,6,4,6,3,4,6,,,,"03 Jun, 2025"
941,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"25 to 44",Female,,2,3,3,3,4,6,6,3,3,3,,,,"03 Jun, 2025"
942,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"45 to 64",Female,,3,3,3,3,4,3,2,2,3,5,,,,"03 Jun, 2025"
943,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"45 to 64",Male,,5,4,4,5,5,4,5,3,5,1,,,,"03 Jun, 2025"
944,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"45 to 64",Female,,1,5,6,5,6,3,4,1,5,6,,,,"03 Jun, 2025"
945,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"45 to 64",Male,,1,1,1,2,6,1,3,2,,,,,,"03 Jun, 2025"
946,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"18 to 24",Male,,3,2,4,4,5,3,6,1,5,2,,,,"03 Jun, 2025"
947,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"45 to 64",Male,,4,4,4,4,4,2,4,3,4,6,,,,"03 Jun, 2025"
948,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"25 to 44",Male,,3,3,3,4,6,4,4,2,4,4,,,,"03 Jun, 2025"
949,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"25 to 44",Male,,3,3,3,4,6,4,4,2,3,4,,,,"03 Jun, 2025"
950,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"25 to 44",Female,,6,1,6,6,6,6,1,1,6,6,,,,"03 Jun, 2025"
951,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"18 to 24",Male,,3,5,4,3,1,4,3,5,,,,,,"03 Jun, 2025"
952,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"18 to 24",Male,,,,,,,,,,,,,,,"03 Jun, 2025"
953,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"25 to 44",Female,,1,3,1,4,3,3,3,3,4,,,,,"03 Jun, 2025"
954,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"25 to 44",Female,,4,3,5,6,6,4,4,1,5,6,,,,"03 Jun, 2025"
955,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"25 to 44",Female,,6,6,6,6,6,1,6,6,6,6,,,,"03 Jun, 2025"
956,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"18 to 24",Male,,4,1,3,4,5,6,3,1,3,,,,,"03 Jun, 2025"
957,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"18 to 24",Male,,5,1,6,6,6,1,5,6,,,,,,"03 Jun, 2025"
958,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"25 to 44",Male,,1,2,4,6,6,1,1,4,6,,,,,"03 Jun, 2025"
959,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"25 to 44",Male,,3,1,2,3,6,4,6,1,4,5,,,,"03 Jun, 2025"
960,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"25 to 44",Female,,6,6,6,6,6,6,6,6,6,6,,,,"03 Jun, 2025"
961,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"18 to 24",Male,,1,1,1,3,3,3,5,6,,,,,,"03 Jun, 2025"
962,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"25 to 44",Male,,2,4,3,6,4,6,4,5,6,,,,,"03 Jun, 2025"
963,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"45 to 64",Male,,3,3,2,4,6,6,6,3,2,1,,,,"03 Jun, 2025"
964,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"18 to 24",Male,,5,5,5,5,6,5,3,1,1,1,,,,"03 Jun, 2025"
965,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"25 to 44",Female,,6,6,6,6,6,3,6,4,6,6,,,,"03 Jun, 2025"
966,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"25 to 44",Female,,6,6,6,6,6,1,6,4,6,6,,,,"03 Jun, 2025"
967,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"25 to 44",Male,,4,2,3,5,6,3,6,2,5,6,,,,"03 Jun, 2025"
968,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"18 to 24",Male,,3,3,5,4,4,1,6,3,4,6,,,,"03 Jun, 2025"
969,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"25 to 44",Male,,5,4,3,5,4,4,,,,,,,,"03 Jun, 2025"
970,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"25 to 44",Female,,6,6,5,6,2,6,5,6,5,6,,,,"03 Jun, 2025"
971,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"25 to 44",Female,,2,3,3,3,5,5,3,3,,,,,,"03 Jun, 2025"
972,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"25 to 44",Male,,3,3,4,5,4,6,6,1,2,1,,,,"03 Jun, 2025"
973,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"45 to 64",Female,,4,4,4,5,6,4,6,2,4,6,,,,"03 Jun, 2025"
974,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"25 to 44",Female,,1,3,2,6,2,6,3,6,,,,,,"03 Jun, 2025"
975,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"25 to 44",Female,,1,3,1,2,6,1,6,3,2,6,,,,"03 Jun, 2025"
976,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"25 to 44",Male,,1,2,2,2,1,6,1,1,1,2,,,,"03 Jun, 2025"
977,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"45 to 64",Male,,5,4,4,6,5,5,4,6,6,,,,,"03 Jun, 2025"
978,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"25 to 44",Male,,6,3,5,4,5,3,5,4,5,4,,,,"03 Jun, 2025"
979,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"25 to 44",Male,,5,4,4,4,4,4,4,,,,,,,"03 Jun, 2025"
980,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"25 to 44",Male,,1,1,2,1,2,5,1,1,1,1,,,,"03 Jun, 2025"
981,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"25 to 44",Female,,4,4,5,5,6,4,6,4,5,6,,,,"03 Jun, 2025"
982,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"45 to 64",Female,,1,1,1,2,6,1,6,1,6,6,,,,"03 Jun, 2025"
983,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"25 to 44",Male,,4,5,3,6,6,2,4,3,4,,,,,"03 Jun, 2025"
984,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"25 to 44",Male,,6,1,1,1,3,6,2,1,1,,,,,"03 Jun, 2025"
985,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"18 to 24",Male,,4,6,5,5,5,4,5,3,4,3,,,,"03 Jun, 2025"
986,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"45 to 64",Female,,4,4,4,4,5,4,5,3,3,3,,,,"03 Jun, 2025"
987,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"25 to 44",Male,,1,1,1,2,2,1,2,1,2,2,,,,"03 Jun, 2025"
988,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"25 to 44",Male,,6,6,6,6,6,6,6,6,,,,,,"03 Jun, 2025"
989,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"45 to 64",Female,,4,3,4,4,5,5,6,3,4,,,,,"03 Jun, 2025"
990,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"45 to 64",Male,,6,6,6,6,6,1,6,1,6,6,,,,"03 Jun, 2025"
991,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"45 to 64",Male,,2,5,2,3,4,3,4,2,3,5,,,,"03 Jun, 2025"
992,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"45 to 64",Female,,6,5,5,6,3,4,5,4,6,6,,,,"03 Jun, 2025"
993,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"25 to 44",Female,,1,1,2,4,6,5,5,1,2,6,,,,"03 Jun, 2025"
994,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"25 to 44",Female,,6,6,6,6,6,2,6,5,5,6,,,,"03 Jun, 2025"
995,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"25 to 44",Female,,4,4,4,6,2,6,3,3,4,,,,,"03 Jun, 2025"
996,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"25 to 44",Female,,3,5,4,4,4,3,4,3,4,,,,,"03 Jun, 2025"
997,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"18 to 24",Female,,6,4,4,5,2,4,3,3,,,,,,"03 Jun, 2025"
998,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"18 to 24",Female,,2,1,1,4,2,2,3,1,1,1,,,,"03 Jun, 2025"
999,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"45 to 64",Male,,4,5,5,4,6,4,6,5,4,2,,,,"03 Jun, 2025"
1000,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"18 to 24",Female,,6,5,5,5,6,2,6,3,4,6,,,,"03 Jun, 2025"
1001,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"25 to 44",Female,,2,2,3,3,6,6,1,1,5,,,,,"03 Jun, 2025"
1002,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"25 to 44",Female,,3,1,2,3,6,5,4,1,2,2,,,,"03 Jun, 2025"
1003,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"45 to 64",Female,,2,2,3,4,4,6,3,2,3,,,,,"03 Jun, 2025"
1004,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"25 to 44",Male,,3,1,2,3,4,6,5,2,3,3,,,,"03 Jun, 2025"
1005,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"25 to 44",Female,,6,2,3,6,6,1,1,1,6,6,,,,"03 Jun, 2025"
1006,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"25 to 44",Female,,6,6,6,6,6,4,4,3,6,6,,,,"03 Jun, 2025"
1007,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"45 to 64",Male,,4,2,4,5,4,2,5,3,3,4,,,,"03 Jun, 2025"
1008,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"18 to 24",Other,,1,3,3,3,6,3,6,3,3,3,,,,"03 Jun, 2025"
1009,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"45 to 64",Male,,4,3,4,5,6,3,3,3,3,3,,,,"03 Jun, 2025"
1010,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"18 to 24",Male,,3,4,3,2,1,1,1,1,2,2,,,,"03 Jun, 2025"
1011,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"45 to 64",Female,,1,3,4,4,5,3,4,1,4,5,,,,"03 Jun, 2025"
